State,year,Carbon monoxide,Ozone,PM2.5 - Local Conditions
MO,2017,,0.04478111956521739,8.17321953691275
MO,2018,,0.044407693181818184,8.589719545454546
MO,2019,,0.04315236931818182,8.426052941747573
MO,2020,,0.03996826136363636,8.547515399159664
MO,2021,,0.04249136931818182,8.794568575342465
MO,2022,,0.04447708522727273,8.131870291828793
MO,2023,,0.047535607638888894,9.273932746963563
MS,2014,0.22444599999999998,0.041133925,
MS,2015,,0.039632875,8.794822818181817
MS,2016,,0.0420899,8.1989092
MS,2017,,0.039390275,8.248205899999999
MS,2018,,0.041090749999999995,8.296319275
MS,2019,,0.041059525,8.362591232142856
MS,2020,,0.03757715,8.63042350595238
MS,2021,,0.038962225,8.493884738095238
MS,2022,,0.041687524999999996,8.547099702380953
MS,2023,,0.045294774999999995,9.979992964285714
MT,2014,0.13155925,0.03993471875,6.531026524390244
MT,2015,,0.04145046875,8.032821170560748
MT,2016,,0.0399133125,6.119798367713004
MT,2017,,0.04491925,8.727802795454545
MT,2018,,0.0439346875,6.6902141137254905
MT,2019,,0.04175439285714285,5.726718152173913
MT,2020,,0.0424804375,5.917767468627451
MT,2021,,0.04655915625,8.83022420283019
MT,2022,,0.04318790625,7.429622740566038
MT,2023,,0.044998125,7.461997506276151
NC,2014,0.2972961,0.044670347826086955,8.713395811494253
NC,2015,,0.045107369318181816,7.987957781862744
NC,2016,,0.04563790625,8.223501825949366
NC,2017,,0.04388731875,7.605090834415584
NC,2018,,0.043802875000000005,7.464164585831062
NC,2019,,0.04544808552631579,7.625464858333332
NC,2020,,0.039106710526315785,6.764793641943734
NC,2021,,0.04268784868421052,7.741335299711815
NC,2022,,0.043378782894736845,7.067392457446808
NC,2023,,0.0456226554054054,8.780610452954049
ND,2014,0.161408,0.04070733333333333,4.9202270082644635
ND,2015,,0.043514863636363636,5.50819579331307
ND,2016,,0.039030363636363634,3.633194950413223
ND,2017,,0.0416838125,5.840349816
ND,2018,,0.04287417307692308,5.787028
ND,2019,,0.0402718,4.673070163398693
ND,2020,,0.039497055555555556,4.7082534597315435
ND,2021,,0.04334725,7.221527085820895
ND,2022,,0.04008738888888889,5.843629714285714
ND,2023,,0.046095027777777776,8.594332066666666
NE,2014,0.368755,0.0414795,8.000970928571428
NE,2015,,0.04206394230769231,7.657665076271186
NE,2016,,0.0415571,6.923628689999999
NE,2017,,0.03991245,7.5365347317073175
NE,2018,,0.0391951,7.534251390243903
NE,2019,,0.03850545,6.437693841463415
NE,2020,,0.03680405,6.466548736486486
NE,2021,,0.0417273125,7.741976297029703
NE,2022,,0.0429443125,5.501756263636364
NE,2023,,0.047376125,7.614744362745098
NH,2014,0.17080425,0.0405414375,6.450031309859155
NH,2015,,0.04077614583333333,6.43831334
NH,2016,,0.04026552083333333,5.169176407407407
NH,2017,,0.0397890625,5.0587993984375
NH,2018,,0.040020708333333335,4.688408666666667
NH,2019,,0.038566750000000004,4.3567233482142855
NH,2020,,0.03879420833333334,4.809528288135593
NH,2021,,0.03979192857142857,5.5862842666666666
NH,2022,,0.03957533333333333,4.819688937931035
NH,2023,,0.04140088636363636,5.8698986
NJ,2014,0.3542310833333333,0.043371779411764705,8.870835434782608
NJ,2015,,0.04527770212765957,9.078031207100592
NJ,2016,,0.044164040816326536,8.27203055378486
NJ,2017,,0.041394852941176466,8.154897614232208
NJ,2018,,0.041334838235294116,7.953303791044776
NJ,2019,,0.043034426470588236,7.895548671641791
NJ,2020,,0.03967851470588235,7.515144363984675
NJ,2021,,0.041569014705882354,8.516713319327732
NJ,2022,,0.04239036764705882,7.20425451953125
NJ,2023,,0.044040083333333334,8.676356824438201
NM,2014,0.21338725,0.045214592857142855,5.508188493333334
NM,2015,,0.045482279411764706,6.266359572649573
NM,2016,,0.04723714285714285,7.211662635135136
NM,2017,,0.0483411875,7.548198296296297
NM,2018,,0.049363702380952376,6.547604622641509
NM,2019,,0.04806020238095238,5.96462762962963
NM,2020,,0.0472567,6.97331108994709
NM,2021,,0.048108925000000004,7.905903185185185
NM,2022,,0.04625275,6.808042317307692
NM,2023,,0.046477309523809525,6.082283294797689
NV,2014,0.35365285,0.04854338953488372,7.5361503524096385
NV,2015,,0.04747736574074074,7.218797819004524
NV,2016,,0.047415770833333336,7.432149606334842
NV,2017,,0.04768546875,6.757663810439561
NV,2018,,0.048499231250000004,7.461093926984128
NV,2019,,0.04688248958333333,5.40298562555066
NV,2020,,0.04689978888888889,7.534076978494624
NV,2021,,0.04853547727272727,7.775420161862527
NV,2022,,0.04734330769230769,6.265884597014925
NV,2023,,0.0481480462962963,5.215892837539433
NY,2014,0.26818444444444445,0.040158390625,7.477671520361991
NY,2015,,0.0413323984375,7.886729893877551
NY,2016,,0.0420557734375,6.588727567346939
NY,2017,,0.040499359375,6.656972977272727
NY,2018,,0.04084973387096774,6.977267567010309
NY,2019,,0.0406562109375,6.441423724852071
NY,2020,,0.039810017241379315,6.336548756756756
NY,2021,,0.04067765833333334,6.982092533557047
NY,2022,,0.040912375,6.239401477707006
NY,2023,,0.04184265178571429,8.117741162337662
OH,2014,0.27120238461538465,0.04411722549019608,10.319456392568659
OH,2015,,0.04454617156862745,9.954805742589704
OH,2016,,0.04603201136363636,8.596676713850838
OH,2017,,0.04361342647058823,8.479395261146497
OH,2018,,0.043474370192307696,8.619803481434058
OH,2019,,0.04456951960784313,8.699847388335703
OH,2020,,0.04209574528301887,8.180660876201923
OH,2021,,0.043281081730769236,9.284084212290503
OH,2022,,0.04333423529411765,8.144936849821216
OH,2023,,0.04578173706896552,10.255925771961493
OK,2014,0.16139016666666667,0.04442871,8.759318829457364
OK,2015,,0.04316955208333333,7.9256813722627735
OK,2016,,0.04365616666666666,7.753635089041096
OK,2017,,0.04399775925925926,8.160142
OK,2018,,0.04350581,8.366350024523161
OK,2019,,0.04298148809523809,7.956663852830189
OK,2020,,0.0404915,8.029570013605442
OK,2021,,0.043819559523809525,9.741941238267147
OK,2022,,0.04699865625,8.293725635782748
OK,2023,,0.048190897727272725,8.773175180357143
OR,2014,0.3012245,0.03936825,8.079510606896552
OR,2015,,0.042482181818181815,8.56298180392157
OR,2016,,0.03691520454545454,6.2118451875
OR,2017,,0.041389272727272726,11.22763565
OR,2018,,0.038728791666666665,9.75485794117647
OR,2019,,0.035969650000000006,8.492442731428572
OR,2020,,0.036601795454545456,14.002421746666666
OR,2021,,0.0405889,10.206545083333333
OR,2022,,0.0374177,10.314591040160643
OR,2023,,0.04058525,9.005180730103806
PA,2014,0.2356097222222222,0.04361940178571429,10.371538003514939
PA,2015,,0.04513932075471698,10.318122453590192
PA,2016,,0.04479064685314685,9.11911636672326
PA,2017,,0.043058620370370365,9.338934908794789
PA,2018,,0.041567419811320755,9.035560796969698
PA,2019,,0.042992575471698116,8.28795369736842
PA,2020,,0.04066326923076923,7.662449418989547
PA,2021,,0.04173064351851852,8.860754352766797
PA,2022,,0.041984654545454546,7.989945651675485
PA,2023,,0.0446397421875,9.792722281128944
RI,2014,0.4013495,0.04463916666666667,6.045556647058823
RI,2015,,0.046523249999999995,7.2451668705882355
RI,2016,,0.04478119444444444,6.3004852
RI,2017,,0.04205475,5.9018909892473115
RI,2018,,0.04352233333333333,6.452963922077922
RI,2019,,0.045101166666666664,5.509506144927536
RI,2020,,0.0419544375,6.585234971014493
RI,2021,,0.0423035,7.474455589743589
RI,2022,,0.0426713125,5.623140153846154
RI,2023,,0.0433109375,7.143985743589744
SC,2014,0.1567885,0.041645857142857144,9.1257728
SC,2015,,0.041497904761904764,7.976618406451613
SC,2016,,0.043429771739130436,8.277937529616725
SC,2017,,0.04135823684210526,7.798378455782313
SC,2018,,0.043714184210526315,7.220347574324324
SC,2019,,0.0432455,7.454823721428571
SC,2020,,0.037092734375,7.097577882352941
SC,2021,,0.04044751666666667,8.02666076635514
SC,2022,,0.04153195,7.503699591973244
SC,2023,,0.04376901666666667,8.589447527710844
SD,2014,0.1873865,0.04109095833333334,6.45394464084507
SD,2015,,0.045259,6.487132786764706
SD,2016,,0.04386309375,5.125536280821918
SD,2017,,0.04164704166666667,5.7371459140625
SD,2018,,0.04175079166666667,5.9360925546875
SD,2019,,0.043249249999999996,5.0139687421875
SD,2020,,0.0423655,5.470285896907217
SD,2021,,0.0427694375,7.47725143442623
SD,2022,,0.04435989285714286,4.928401134020619
SD,2023,,0.04554653571428572,7.327872309278351
TN,2014,0.27076657142857147,0.04450410416666667,9.105984836879433
TN,2015,,0.04354274074074074,8.436532620689656
TN,2016,,0.04702693478260869,8.388690319148937
TN,2017,,0.04432797826086956,7.559217488304093
TN,2018,,0.043735804347826084,7.535166745454545
TN,2019,,0.04515277173913043,7.412288717325228
TN,2020,,0.03948776086956522,7.776385696165192
TN,2021,,0.04223948913043478,8.622451055214725
TN,2022,,0.043474967391304346,7.717338745398773
TN,2023,,0.04629511956521739,8.943953413793103
TX,2014,0.20318135,0.039764185064935065,9.982552670175439
TX,2015,,0.040240718333333335,9.57244938576779
TX,2016,,0.040106450657894734,8.688214084942086
TX,2017,,0.04055972972972973,8.761239372781066
TX,2018,,0.03923696917808219,8.715225712962964
TX,2019,,0.040682824324324324,8.581929983122363
TX,2020,,0.03960663486842105,8.804383045553145
TX,2021,,0.04047148684210526,8.869715153703703
TX,2022,,0.042005696202531646,8.77674231420765
TX,2023,,0.042992030821917805,9.224443929912391
UT,2014,0.4822626666666667,0.0536151301369863,7.079328859296482
UT,2015,,0.05353305714285714,7.052003667613636
UT,2016,,0.05222508000000001,7.029276824427481
UT,2017,,0.04720338888888889,7.88708523756906
UT,2018,,0.049001852941176476,7.61879785
UT,2019,,0.04589400735294118,6.0617594154302665
UT,2020,,0.045719558333333334,7.612949666666666
UT,2021,,0.0475124375,8.506725064971752
UT,2022,,0.046165590909090906,7.120691304477612
UT,2023,,0.0470914296875,7.001781046391752
VA,2014,0.2736927142857143,0.04377522916666667,8.192573095238096
VA,2015,,0.044042134615384615,8.12014863841808
VA,2016,,0.0429698152173913,7.238908464454976
VA,2017,,0.042803010869565214,7.21731931372549
VA,2018,,0.04105744565217391,6.890257215686274
VA,2019,,0.043781217391304354,7.077791584615385
VA,2020,,0.038198822916666667,6.383142813793103
VA,2021,,0.041471673913043475,7.502185110032362
VA,2022,,0.041238413043478264,6.887551687861272
VA,2023,,0.043864858695652174,8.230746793774319
VT,2014,0.19534125,0.040487749999999996,6.573550795180724
VT,2015,,0.04194725,7.111595032608696
VT,2016,,0.04017475,4.98361952173913
VT,2017,,0.03851375,5.013493964285714
VT,2018,,0.03939925,5.72546073
VT,2019,,0.03837358333333333,5.446487836956522
VT,2020,,0.038683749999999996,5.499128326086956
VT,2021,,0.03750641666666667,5.914306663043479
